unix_timestamp,telecommand,norad_id,ground_station_lat,ground_station_lon,pass_event,is_anomaly
1742956822,1: com_ping 10,62171,31.7619,-106.485,rise,0
1742957088,1: com_ping 10,62171,31.7619,-106.485,peak,0
1742957353,1: com_ping 10,62171,31.7619,-106.485,set,0
1743001649,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743001815,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743001981,1: com_ping 10,62171,31.7619,-106.485,set,0
1743007752,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743038365,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743038555,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743038744,1: com_ping 10,62171,31.7619,-106.485,set,0
1743044278,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743044512,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743044746,1: com_ping 10,62171,31.7619,-106.485,set,0
1743088988,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743089233,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743089478,1: com_ping 10,62171,31.7619,-106.485,set,0
1743095028,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743095196,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743095365,1: com_ping 10,62171,31.7619,-106.485,set,0
1743125745,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743125996,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743131795,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743131928,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743132062,1: com_ping 10,62171,31.7619,-106.485,set,0
1743176390,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743176656,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743176924,1: com_ping 10,62171,31.7619,-106.485,set,0
1743213159,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743213426,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743213693,1: com_ping 10,62171,31.7619,-106.485,set,0
1743258023,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743258153,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743258284,1: com_ping 10,62171,31.7619,-106.485,set,0
1743263834,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743264085,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743264338,1: com_ping 10,62171,31.7619,-106.485,set,0
1743283185,1: com_ping 10,62171,31.7619,-106.485,set,1
1743283186,1: com_ping 10,62171,31.7619,-106.485,rise,1
1743283187,1: com_ping 10,62171,31.7619,-106.485,set,1
1743283188,1: com_ping 10,62171,31.7619,-106.485,rise,1
1743283189,1: com_ping 10,62171,31.7619,-106.485,set,1
1743294717,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743294883,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743295049,1: com_ping 10,62171,31.7619,-106.485,set,0
1743300601,1: com_ping 10,62171,31.7619,-106.485,rise,0
1743300847,1: com_ping 10,62171,31.7619,-106.485,peak,0
1743301092,1: com_ping 10,62171,31.7619,-106.485,set,0
